seller_rank,seller_id_short,seller_state,total_orders,seller_attributed_order_value,avg_review,late_rate,performance_tier
357,7d456afc...520c,SP,56,9857.87,4.357142857142857,0.05454545454545454,medium
358,2dee2ce6...1a1f,MT,54,9844.56,4.425925925925926,0.018518518518518517,medium
359,a00824eb...4eb0,SP,3,9779.46,4.666666666666667,0.0,medium
360,30780969...02d1,SP,59,9700.9,4.203389830508475,0.05357142857142857,medium
361,4371b634...d469,SP,102,9678.789999999999,4.445544554455446,0.07920792079207921,medium
362,ebd2d609...20d3,SP,84,9675.02,4.154761904761905,0.036585365853658534,medium
363,d03698c2...27fb,BA,18,9644.619999999999,4.5,0.05555555555555555,medium
364,6c12e406...0dc1,PR,16,9624.26,4.071428571428571,0.0,medium
365,06df0c10...42eb,PR,26,9595.77,4.346153846153846,0.11538461538461539,medium
366,db295674...d25e,SP,47,9574.27,3.765957446808511,0.1111111111111111,medium
367,2089a6d6...f596,SP,44,9525.939999999999,3.727272727272727,0.14634146341463414,medium
368,8a432f4e...66e2,SP,95,9520.109999999999,4.191489361702128,0.05263157894736842,medium
369,aac29b1b...091d,MG,98,9465.52,4.104166666666667,0.09574468085106383,medium
370,33a17d60...e0f2,RS,43,9431.859999999999,4.627906976744186,0.023255813953488372,medium
371,37515688...203f,SP,228,9417.699999999997,4.092920353982301,0.1013215859030837,medium
372,750303a2...897d,GO,54,9394.81,4.2407407407407405,0.03773584905660377,medium
373,6c177e38...31bf,PR,55,9376.529999999999,4.036363636363636,0.03773584905660377,medium
374,af4a0e4c...72e5,MG,21,9351.6,3.4285714285714284,0.09523809523809523,medium
375,fdb90952...f2db,SP,46,9289.369999999999,4.184782608695652,0.06521739130434782,medium
376,609e1a9a...6ff0,SC,87,9282.420000000002,3.8117647058823527,0.022988505747126436,medium
377,ad781527...d7c1,SP,44,9279.260000000002,3.0681818181818183,0.3157894736842105,medium
378,a2e87407...488f,SP,44,9274.8,3.9545454545454546,0.05,medium
379,fcb5ace8...d269,SP,62,9273.33,3.8524590163934427,0.03389830508474576,medium
380,b18dc380...f099,SP,44,9248.93,4.1395348837209305,0.16279069767441862,medium
381,93dc8770...8b45,MG,35,9206.29,3.9696969696969697,0.09090909090909091,medium
382,4bfc7a4a...50b5,SP,26,9191.59,4.538461538461538,0.038461538461538464,medium
383,b4ffb71f...93e1,SP,144,9176.07,4.225694444444445,0.02097902097902098,medium
384,725c32fa...314e,SP,89,9166.66,4.517241379310345,0.011235955056179775,medium
385,7722b1df...3e19,SP,134,9165.3,4.225563909774436,0.03007518796992481,medium
386,403aa869...96ab,MG,11,9164.51,4.0,0.0,medium
387,bd0389da...4596,DF,87,9128.47,4.172413793103448,0.08045977011494253,medium
388,8e6cc767...d77a,MG,106,9115.41,3.9326923076923075,0.08,medium
389,90303766...616e,SP,45,9083.280000000002,3.888888888888889,0.13636363636363635,medium
390,08633c14...d4cd,SP,74,9068.82,4.364864864864865,0.06756756756756757,medium
391,52d76513...ee31,RS,19,9042.36,4.055555555555555,0.05263157894736842,medium
392,0432ead4...7fdf,SP,85,8999.619999999999,4.458823529411765,0.036585365853658534,medium
393,8648b1e8...737e,SP,95,8946.05,4.094736842105263,0.10752688172043011,medium
394,26d8a1c7...3aa2,PR,36,8945.779999999999,4.305555555555555,0.08823529411764706,medium
395,784ba75d...141a,SP,21,8924.949999999999,3.8333333333333335,0.10526315789473684,medium
396,989becdc...3ca1,PR,18,8893.329999999998,4.555555555555555,0.13333333333333333,medium
397,6fd52c52...11f8,SP,67,8881.58,3.393939393939394,0.13432835820895522,medium
398,257e61d3...f7ca,PR,12,8806.18,4.75,0.0,medium
